date,population,population_2d,population_3d,precip,humidity,temp,lw_avg_temp,lw_avg_humidity,lw_precip
2011_50,335.25,714.0,1006.3333333333334,0.0,82.57142857142857,26.285714285714285,25.0,85.33333333333333,0.0
2011_51,481.75,1278.5,1036.3333333333333,0.0,73.57142857142857,27.714285714285715,26.38095238095238,80.47619047619047,0.0
2011_52,819.0,1071.5,822.0,0.0,79.85714285714286,26.0,26.666666666666668,78.66666666666666,0.0
2012_01,892.75,437.5,553.0,0.0,88.57142857142857,25.142857142857142,26.28571428571429,80.66666666666667,0.0
2012_02,858.0,553.5,809.0,0.0,82.42857142857143,26.571428571428573,25.90476190476191,83.61904761904762,0.0
2012_03,812.5,1052.0,1011.6666666666666,0.0,72.42857142857143,27.428571428571427,26.38095238095238,81.14285714285715,0.0
2012_04,744.75,1125.5,1080.3333333333333,0.0,71.57142857142857,27.857142857142858,27.28571428571429,75.47619047619047,0.0
2012_05,839.5,960.5,988.0,0.0,77.0,27.142857142857142,27.47619047619048,73.66666666666667,0.0
2012_06,1006.25,1016.5,879.3333333333334,0.0,68.85714285714286,28.714285714285715,27.9047619047619,72.47619047619047,0.0
2012_07,1071.0,824.0,793.6666666666666,0.0,81.14285714285714,26.857142857142858,27.571428571428573,75.66666666666666,0.0
2012_08,892.25,669.0,788.6666666666666,0.0,73.42857142857143,27.571428571428573,27.71428571428572,74.47619047619048,0.0
2012_09,842.75,880.5,824.3333333333334,0.0,68.28571428571429,28.428571428571427,27.61904761904762,74.28571428571428,0.0
2012_10,852.25,870.0,781.3333333333334,0.0,76.57142857142857,27.0,27.666666666666668,72.76190476190476,0.0
2012_11,769.5,658.0,704.0,0.0,70.42857142857143,27.714285714285715,27.71428571428571,71.76190476190476,0.0
2012_12,769.25,700.0,662.3333333333334,0.0,72.42857142857143,28.285714285714285,27.666666666666668,73.14285714285715,0.0
2012_13,785.0,691.5,705.3333333333334,0.0,75.71428571428571,27.142857142857142,27.71428571428571,72.85714285714285,0.0
2012_14,674.75,660.0,676.0,0.0,77.28571428571429,27.714285714285715,27.71428571428571,75.14285714285712,0.0
2012_15,680.0,720.5,719.3333333333334,0.0,76.0,27.428571428571427,27.428571428571427,76.33333333333333,0.0
2012_16,706.0,712.5,762.3333333333334,0.0,70.14285714285714,26.0,27.047619047619047,74.47619047619047,0.0
2012_17,686.25,789.5,684.6666666666666,0.51,73.85714285714286,27.0,26.809523809523807,73.33333333333333,0.51
2012_18,755.0,668.5,570.0,0.0,74.14285714285714,24.142857142857142,25.71428571428571,72.71428571428571,0.51
2012_19,690.5,424.0,367.6666666666667,0.0,77.42857142857143,24.714285714285715,25.28571428571429,75.14285714285714,0.51
2012_20,606.75,314.0,351.0,0.0,82.71428571428571,21.714285714285715,23.52380952380952,78.09523809523809,0.0
2012_21,491.25,340.0,471.3333333333333,2.03,83.14285714285714,22.428571428571427,22.952380952380956,81.09523809523809,2.03
2012_22,382.0,579.5,630.3333333333334,0.0,79.71428571428571,25.571428571428573,23.23809523809524,81.85714285714285,2.03
2012_23,446.75,733.0,662.6666666666666,0.0,78.16666666666667,25.83333333333333,24.611111111111114,80.34126984126983,2.03
2012_24,536.5,627.0,664.0,0.0,81.57142857142857,23.142857142857142,24.84920634920635,79.81746031746032,0.0
2012_25,603.25,630.0,594.6666666666666,0.0,72.57142857142857,23.714285714285715,24.23015873015873,77.43650793650794,0.0
